address,bizhour,img,lat,link,lng,name,rating,rest_type,tel
서울 중구 신당동 302-28,운영시간: 00:00 ~ 00:00  휴일: 명절,http://www.menupan.com/restaurant/restimg/008/zzmenuimg/b1022884_z.jpg,37.562739628108,http://www.menupan.com/restaurant/onepage.asp?acode=B102288,127.014683062186,약속떡볶이,4.2,분식,02-2252-2616
서울 용산구 한남동 795-1,운영시간: 11:30 ~ 21:30  휴일: 매주 월요일 휴무,http://www.menupan.com/restaurant/restimg/001/zzmenuimg/r10676133_z.jpg,37.5425166120116,http://www.menupan.com/restaurant/onepage.asp?acode=R106761,127.002456433152,윤세영식당,3.9,양식,02-795-3375
경남 창원시 성산구 상남동 34-2 이정빌딩 2층,운영시간: 11:00 ~ 23:00  휴일: 연중무휴,http://www.menupan.com/restaurant/restimg/009/zzmenuimg/r70031938_z.jpg,35.2205997813897,http://www.menupan.com/restaurant/onepage.asp?acode=R700319,128.68158350367,서가앤쿡 창원상남점,3.4,양식,055-274-7707
"경기 용인시 수지구 성복동 70-1 모던프라자 103, 104호",운영시간: 00:00 ~ 24:00  휴일: 연중무휴,http://www.menupan.com/restaurant/restimg/006/zzmenuimg/d40208641_z.jpg,37.3130968495607,http://www.menupan.com/restaurant/onepage.asp?acode=D402086,127.079175521417,브라우니70,3.6,카페/주점-커피전문,031-897-7468
경기 고양시 일산서구 대화동 2050-8,운영시간: 10:30 ~ 21:00  휴일: 연중무휴,http://www.menupan.com/restaurant/restimg/007/zzmenuimg/h49263711_z.jpg,37.6838411070961,http://www.menupan.com/restaurant/onepage.asp?acode=H492637,126.75568119472,무한리필김추일수제돈까스 일산본점,3.9,한식-일반한식(돈까스 전문),031-917-0575
서울 강남구 청담동 83-4 B1F,운영시간: 19:00 ~ 03:00  휴일: 연중무휴,http://www.menupan.com/restaurant/restimg/009/zzmenuimg/d1032094_z.jpg,37.5262928496753,http://www.menupan.com/restaurant/onepage.asp?acode=D103209,127.04102540786,르챔버(LE CHAMBER),3.8,카페/주점-바,02-6337-2014
충남 서산시 동문동 382-13,"운영시간: 10:00 ~ 22:00  휴일: 2,4주 일요일",http://www.menupan.com/restaurant/restimg/006/zzmenuimg/d3009768_z.jpg,36.7855971919499,http://www.menupan.com/restaurant/onepage.asp?acode=D300976,126.461340474542,카페클라체(kaffee Klatch),4.0,카페/주점-카페,041-920-0441
광주 북구 운암동 857,운영시간: 12:00 ~ 23:00  휴일: 명절,http://www.menupan.com/restaurant/restimg/004/zzmenuimg/h50250416_z.jpg,35.1756867014686,http://www.menupan.com/restaurant/onepage.asp?acode=H502504,126.873392249139,고기촌뷔페,3.8,전문뷔페,062-525-9233
경남 남해군 삼동면 동천리 1140-1,운영시간: 08:00 ~ 21:00  휴일: 연중무휴,http://www.menupan.com/restaurant/restimg/002/zzmenuimg/h7023624_z.jpg,34.8111470511253,http://www.menupan.com/restaurant/onepage.asp?acode=H702362,128.036318487261,청해삼소리정,3.5,한식-일반한식,055-867-6007
충남 천안시 서북구 성정동 1491,운영시간: 17:00 ~ 03:00  휴일: 연중무휴,http://www.menupan.com/restaurant/restimg/002/zzmenuimg/d30095218_z.jpg,36.8276945358339,http://www.menupan.com/restaurant/onepage.asp?acode=D300952,127.140066021935,꼬지사께 천안성정점,4.3,카페/주점,041-569-6667
