,id,name,tel,category,address,x,y,bizhourInfo,menuInfo,star,reveiw
0,1469201439,르프리크,02-2054-0119,"['음식점', '햄버거']",서울특별시 성동구 성수동2가 302-8,127.0526591,37.5444391,매일 11:30~21:00 월요일 휴무 / BREAK TIME (15:00~17:30) / 런치 11:30~15:00 (라스트오더 14:30) / 디너 17:30~21:00 (라스트오더 20:30),"Signature 9,800 | Chat Potato 6,500",4.39,184
1,1092567422,텅플래닛,02-498-1113,"['음식점', '카페,디저트']",서울특별시 성동구 성수동2가  317-9,127.0565220,37.5422450,월요일 11:00~21:00 | 화요일 11:00~21:00 | 수요일 11:00~21:00 | 목요일 11:00~23:00 | 금요일 11:00~23:00 | 토요일 11:00~23:00 | 일요일 11:00~21:00,"텅 시그니처 8,000 | 텅 아메리카노 5,500 | 텅 이모지케이크 12,000 | 텅 쿠키 3,000 | 텅 라떼 6,000 | 텅 자몽 에이드 7,000 | 텅 청사과 에이드 7,000 | 텅 복숭아 에이드 7,000 | 텅 커피 블렌디드 8,000 | 텅 요거트 블렌디드 7,500 | 텅 베리 블렌디드 7,500 | 텅 레이어드 케이크 13,000 | 텅플래닛 머랭 9,000 | 텅 팝파이 9,000 | 텅 콤마 7,000 | 텅 쿼트 7,000 | 텅 피리어드 7,000",4.59,53
2,1739440199,꿉당 성수점,02-465-6564,"['한식', '돼지고기구이']",서울특별시 성동구 성수동2가 273-24 경협회관 104호,127.0576554,37.5432311,매일 16:30~23:20 10월까지 일요일휴무,"목살 15,000 | 꿉살 18,000 | 럭키짱 고추장파스타 8,000 | 코쿠미쌀밥 3,000",4.28,37
3,1104075584,윕 성수,02-6951-1005,"['술집', '와인']",서울특별시 성동구 성수동2가 299-63 1층,127.0543121,37.5495869,매일 11:30~23:00 월 화 휴무,에그베네딕트 변동가격(업주문의),4.33,15
4,11721256,소문난성수감자탕,02-465-6580,"['한식', '감자탕']",서울특별시 성동구 성수동2가 315-100,127.0543869,37.5428369,매일 00:00~24:00 연중무휴,"감자국식사 7,500 | 감자탕 (소) 25,000 | 감자탕 (중) 28,000 | 감자탕 (대) 38,000 | 뼈추가 9,000 | 포장 (1인분) 10,000",4.36,"2,398"
5,1909731083,kuna,010-8008-1028,"['음식점', '이탈리아음식']",서울특별시 성동구 성수동2가 302-8 105호,127.0526591,37.5444391,월요일 17:00~22:00 | 평일 12:00~22:00 | 토요일 12:00~22:00 | 일요일 12:00~20:00 | 매일 15:00~17:00 Break Time,"바질페스토 파스타 19,000 | 포르치니와 4가지 버섯 베이컨 크림 뇨끼 19,000 | 부라타 16,000 | 그라브락스 리코타 18,000 | 크리스피하게 구운 문어 23,000 | 가지 라자냐 21,000 | 가지 튀김 12,000 | 이탈리안식 멘보샤 13,000 | 로브스터 먹물 뇨끼 29,000 | 오리 가슴살 스테이크 30,000",4.66,139
6,1031247842,TMH,010-4632-5202,"['음식점', '카페,디저트']",서울특별시 성동구 성수동2가 315-47,127.0552418,37.5429496,매일 11:00~20:00,"에스프레소 4,000 | 아메리카노 4,000 | 라떼 5,000 | 모카 5,000 | 바닐라 라떼 5,000 | 초코 5,000 | 밀크티 5,000 | 레몬에이드 5,000 | 진저티 5,000 | 필터 커피 (핸드 드립) 변동가격(업주문의)",4.05,22
7,34572827,자그마치,070-4409-7700,"['음식점', '카페,디저트']",서울특별시 성동구 성수동2가 317-12,127.0567256,37.5426733,매일 11:00~23:00 라스트오더:22시30분,"에스프레소 5,000 | 아메리카노 5,000 | 카페라떼 5,500 | 플랫화이트 5,000 | 모카라떼 6,000 | 말차라떼 7,000 | 얼그레이 프렌치 블루 7,000",4.3,480
8,38561949,어니언 성수,070-4353-3238,"['음식점', '카페,디저트']",서울특별시 성동구 성수동2가 277-135,127.0582135,37.5447845,평일 08:00~22:00 last order 21:30 | 주말 10:00~22:00 last order 21:30,"에스프레소 4,300 | 에스프레소 콘파냐 4,800 | 아메리카노 5,000 | 디카페인 커피 5,300 | 플랫 화이트 5,500 | 카페 라떼 5,500 | 카푸치노 5,500 | 이탈리안 카푸치노 5,300 | 바닐라 라떼 6,000 | 어니언 카페 모카 6,800 | 어니언 아인슈페너 6,500 | 딸기 요거트 6,500 | 베네수엘라 초콜렛 라떼 6,800 | 밀크티 6,500 | 패션후르츠 에이드 6,500 | 로즈 에이드 6,500 | 제주 당근 주스 6,300 | 꽃차 6,500 | 패션후르츠 티 6,500 | 로즈 티 6,500",none,none
9,1482957888,해만식당,02-6053-0309,"['일식', '덮밥']",서울특별시 성동구 성수동2가 315-17,127.0560381,37.5430678,매일 11:00~21:00 Break time 15:00-17:00,"아나고동 16,000 | 쇼유에비동 10,000 | 쇼유사케동 11,000 | 에비사케동 12,000 | 낫또장 4,000 | 낫또동 9,000 | 등심카츠 10,000 | 안심카츠 11,000 | 모듬고로케 6,000",4.28,77
